Targets,Actives,Inactives,Inactives/Actives
aa2ar,482,31526,1.0
abl1,182,10747,1.0
ace,282,16886,1.0
aces,453,26235,1.0
ada,93,5450,1.0
ada17,532,35872,1.0
adrb1,247,15850,1.0
adrb2,231,14999,1.0
akt1,293,16444,1.0
akt2,117,6899,1.0
aldr,159,8997,1.0
ampc,48,2849,1.0
andr,267,14338,1.0
aofb,122,6891,1.0
bace1,283,18096,1.0
braf,152,9946,1.0
cah2,492,31154,1.0
casp3,199,10695,1.0
cdk2,474,27845,1.0
comt,41,3849,1.0
cp2c9,120,7449,1.0
cp3a4,170,11798,1.0
csf1r,166,12146,1.0
cxcr4,40,3406,1.0
def,102,5697,1.0
dhi1,330,19340,1.0
dpp4,533,40926,1.0
drd3,478,34039,1.0
dyr,231,17196,1.0
egfr,542,35042,1.0
esr1,382,20679,1.0
esr2,366,20191,1.0
fa10,537,28302,1.0
fa7,114,6250,1.0
fabp4,47,2749,1.0
fak1,100,5349,1.0
fgfr1,139,8695,1.0
fkb1a,111,5800,1.0
fnta,592,51469,1.0
fpps,85,8840,1.0
gcr,257,14996,1.0
glcm,54,3800,1.0
gria2,158,11840,1.0
grik1,101,6547,1.0
hdac2,185,10300,1.0
hdac8,170,10447,1.0
hivint,100,6648,1.0
hivpr,536,35738,1.0
hivrt,338,18877,1.0
hmdh,170,8748,1.0
hs90a,88,4849,1.0
hxk4,92,4700,1.0
igf1r,148,9295,1.0
inha,43,2300,1.0
ital,138,8497,1.0
jak2,107,6497,1.0
kif11,116,6849,1.0
kit,166,10445,1.0
kith,57,2849,1.0
kpcb,135,8698,1.0
lck,420,27396,1.0
lkha4,171,9447,1.0
mapk2,101,6149,1.0
mcr,93,5149,1.0
met,166,11244,1.0
mk01,79,4548,1.0
mk10,104,6596,1.0
mk14,578,35833,1.0
mmp13,572,37170,1.0
mp2k1,121,8144,1.0
nos1,100,8043,1.0
nram,98,6198,1.0
pa2ga,99,5150,1.0
parp1,508,30033,1.0
pde5a,398,27531,1.0
pgh1,195,10794,1.0
pgh2,435,6045,1.0
plk1,107,6800,1.0
pnph,103,6949,1.0
ppara,373,19391,1.0
ppard,240,12246,1.0
pparg,484,25292,1.0
prgr,291,15648,1.0
ptn1,130,7247,1.0
pur2,50,2700,1.0
pygm,77,2007,1.0
pyrd,111,6450,1.0
reni,104,6958,1.0
rock1,100,6298,1.0
rxra,131,6949,1.0
sahh,63,3450,1.0
src,524,34486,1.0
tgfr1,133,8492,1.0
thb,103,7448,1.0
thrb,461,26993,1.0
try1,449,25971,1.0
tryb1,148,7649,1.0
tysy,109,6741,1.0
urok,162,9846,1.0
vgfr2,409,24936,1.0
wee1,102,6150,1.0
xiap,100,5149,1.0
